GeneName,GeneId,CHR,NumVariants,LOF,Ancestral,NumNull,NumUpstream,NumSynonymous,NumStopLost,NumStopGain,NumStartLost,NumSpliceRegion,NumSpliceDonor,NumSpliceAcceptor,NumMissense,NumIntronic,NumInframeIndel,NumFrameshift,NumDownstream,Num3UTR,Num5UTR,MinPos,MaxPos
CALML6,ENSG00000169885,1,60,0,5,0,0,5,0,0,0,1,0,0,12,38,0,0,0,0,4,1915203,1916930
CFAP74,ENSG00000142609,1,629,9,27,0,0,63,0,3,0,12,1,0,121,358,0,5,66,0,0,1916961,1991039
GABRD,ENSG00000187730,1,120,3,6,0,0,21,0,2,0,0,0,0,21,70,0,1,0,2,3,2019374,2030341
PRKCZ,ENSG00000067606,1,221,1,9,0,3,17,0,0,0,7,0,0,11,149,0,1,9,2,22,2050541,2189788
FAAP20,ENSG00000162585,1,119,1,1,0,52,3,0,1,0,0,0,0,19,42,0,0,0,0,2,2191805,2199734
SKI,ENSG00000157933,1,177,0,2,0,1,52,0,0,0,1,0,0,34,71,1,0,0,12,5,2228676,2306861
MORN1,ENSG00000116151,1,301,3,3,0,8,19,0,0,0,4,0,0,40,204,0,3,5,8,10,2321377,2395937
RER1,ENSG00000157916,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2397068,2397275
PEX10,ENSG00000157911,1,106,0,1,0,1,15,0,0,0,2,0,0,21,23,0,0,36,5,3,2399339,2412601
PLCH2,ENSG00000149527,1,323,6,14,0,0,52,0,1,0,10,2,1,86,128,1,2,22,11,7,2476500,2510176
PANK4,ENSG00000157881,1,225,2,5,0,48,30,0,1,0,5,0,0,22,118,0,1,0,0,0,2510647,2530249
TNFRSF14,ENSG00000157873,1,118,1,3,0,0,13,0,0,0,5,0,0,13,67,0,1,13,3,3,2556586,2563346
MMEL1,ENSG00000142606,1,344,1,4,0,11,27,0,0,0,13,1,0,48,162,0,0,70,9,3,2586718,2633145
TTC34,ENSG00000215912,1,113,3,1,0,0,22,0,0,0,6,0,0,32,47,0,3,0,3,0,2641293,2789671
ACTRT2,ENSG00000169717,1,41,1,1,0,0,14,0,0,1,0,0,0,21,0,0,0,1,3,1,3021605,3022917
PRDM16,ENSG00000142611,1,274,2,6,0,0,59,0,1,0,10,0,1,70,123,1,0,0,4,5,3069210,3433884
ARHGEF16,ENSG00000130762,1,206,2,6,0,7,24,0,1,0,3,0,0,47,110,0,1,0,5,8,3463038,3480659
MEGF6,ENSG00000162591,1,494,10,17,0,6,78,0,4,0,12,2,3,102,263,1,1,0,6,16,3490443,3611309
TPRG1L,ENSG00000158109,1,26,0,0,0,2,4,0,0,0,1,0,0,4,12,0,0,0,0,3,3624977,3625697
WRAP73,ENSG00000116213,1,141,1,4,0,0,14,0,0,0,1,0,0,24,67,0,1,24,10,0,3625836,3647467
TP73,ENSG00000078900,1,218,2,7,0,30,28,0,1,0,5,0,0,35,95,1,1,0,3,19,3647541,3733115
CCDC27,ENSG00000162592,1,154,2,7,0,1,20,0,1,0,5,0,0,41,81,0,1,0,4,0,3752386,3771596
LRRC47,ENSG00000130764,1,126,0,4,0,2,28,0,0,0,3,0,0,22,45,0,0,21,4,1,3775276,3796561
CEP104,ENSG00000116198,1,226,4,19,0,14,18,0,1,0,6,2,0,51,119,0,1,11,3,0,3815303,3858943
DFFB,ENSG00000169598,1,89,2,8,0,0,5,0,0,0,2,0,1,11,53,0,1,10,6,0,3865664,3890121
C1orf174,ENSG00000198912,1,83,1,3,0,0,6,0,0,0,2,0,0,17,48,0,1,0,0,9,3890521,3900282
AJAP1,ENSG00000196581,1,73,0,2,0,0,14,0,0,0,0,0,0,18,28,3,0,0,2,8,4655331,4774590
NPHP4,ENSG00000131697,1,358,4,9,0,0,65,0,0,0,8,0,1,95,160,0,3,20,6,0,5863166,5986372
KCNAB2,ENSG00000069424,1,239,1,8,0,6,24,0,1,0,10,0,0,17,151,0,0,0,20,10,6040476,6100055
CHD5,ENSG00000116254,1,453,0,15,0,0,77,0,0,0,17,0,0,41,313,3,0,0,2,0,6106227,6168330
RPL22,ENSG00000116251,1,53,0,2,0,14,0,0,0,0,2,0,0,1,16,0,0,18,1,1,6179877,6199662
RNF207,ENSG00000158286,1,131,1,5,0,0,15,0,0,0,7,1,0,34,72,1,0,1,0,0,6206448,6225178
ICMT,ENSG00000116237,1,86,0,1,0,8,5,0,0,0,2,0,0,3,35,1,0,25,4,3,6218233,6236007
GPR153,ENSG00000158292,1,146,3,8,0,0,31,0,1,0,4,0,0,35,33,0,2,36,2,2,6244270,6254939
ACOT7,ENSG00000097021,1,179,2,4,0,10,16,0,2,0,4,0,0,18,108,1,0,0,4,16,6264526,6393497
HES2,ENSG00000069812,1,56,0,0,0,29,1,0,0,0,1,0,0,3,6,0,0,0,6,10,6418797,6428495
ESPN,ENSG00000187017,1,187,3,0,0,14,23,0,0,0,7,1,1,42,79,4,1,11,4,0,6440160,6460240
PLEKHG5,ENSG00000171680,1,423,4,3,0,49,37,0,0,0,12,2,1,68,124,3,1,89,22,15,6461443,6497488
NOL9,ENSG00000162408,1,148,1,5,0,17,16,0,1,0,4,0,0,22,69,1,0,11,5,2,6519374,6555635
TAS1R1,ENSG00000173662,1,155,3,4,0,0,28,0,1,0,3,0,0,47,26,3,2,41,4,0,6570918,6582331
KLHL21,ENSG00000162413,1,212,2,5,0,0,60,0,0,0,0,0,0,26,13,0,2,65,5,41,6585888,6602936
PHF13,ENSG00000116273,1,22,0,0,0,0,2,0,0,0,1,0,0,0,10,0,0,0,0,9,6613975,6619788
THAP3,ENSG00000041988,1,51,0,2,0,36,1,0,0,0,2,0,0,4,5,0,0,0,0,3,6619890,6628769
DNAJC11,ENSG00000007923,1,210,2,4,0,0,13,0,0,0,4,0,0,22,79,0,2,57,29,4,6630195,6701897
CAMTA1,ENSG00000171735,1,354,3,7,0,2,87,0,0,3,10,0,0,64,157,1,0,13,8,9,6785432,7755716
VAMP3,ENSG00000049245,1,58,0,2,0,9,2,0,0,0,1,0,0,1,20,0,0,16,3,6,7766371,7785686
PER3,ENSG00000049246,1,243,4,11,0,0,25,0,1,0,3,0,1,61,108,0,2,29,13,0,7786630,7849677
UTS2,ENSG00000049247,1,25,1,0,0,1,2,0,0,0,4,0,0,6,8,0,1,0,0,3,7850756,7853530
TNFRSF9,ENSG00000049249,1,46,1,2,0,0,5,0,0,1,6,0,0,9,21,1,0,0,2,1,7920753,7940069
PARK7,ENSG00000116288,1,66,0,3,0,0,3,0,0,0,1,0,0,11,47,0,0,0,2,2,7962693,7985145
ERRFI1,ENSG00000116285,1,47,2,0,0,0,12,0,1,0,2,0,1,18,4,2,0,0,6,1,8013145,8015700
SLC45A1,ENSG00000162426,1,130,3,4,0,2,41,0,1,0,1,0,0,32,46,0,2,0,5,0,8324249,8344109
RERE,ENSG00000142599,1,311,4,6,0,18,70,0,0,0,7,0,0,53,141,7,4,0,3,8,8355014,8656358
ENO1,ENSG00000074800,1,126,2,0,0,0,12,0,0,1,1,1,0,19,89,0,0,0,3,0,8861266,8874979
CA6,ENSG00000131686,1,110,0,6,0,5,17,0,0,0,3,0,0,21,47,0,0,12,5,0,8945797,8974804
SLC2A7,ENSG00000197241,1,141,1,2,0,0,18,0,1,0,2,0,0,41,75,0,0,4,0,0,9003190,9026329
SLC2A5,ENSG00000142583,1,109,3,1,0,0,16,1,1,1,6,0,0,22,17,0,0,27,15,3,9037492,9069599
GPR157,ENSG00000180758,1,58,2,0,0,2,13,0,0,0,1,0,0,22,13,0,2,0,2,3,9104330,9129193
H6PD,ENSG00000049239,1,166,4,8,0,0,32,0,3,0,5,0,1,63,45,0,0,13,4,0,9240009,9275280
SPSB1,ENSG00000171621,1,71,1,2,0,14,13,0,0,0,0,0,0,6,14,0,1,0,6,17,9292793,9367675
SLC25A33,ENSG00000171612,1,99,0,0,0,0,5,0,0,0,2,0,0,7,53,0,0,27,2,3,9539661,9589123
TMEM201,ENSG00000188807,1,213,2,6,0,0,18,0,0,0,2,2,0,37,58,1,0,12,83,0,9595827,9613118
PIK3CD,ENSG00000171608,1,195,2,6,0,0,27,0,0,0,11,1,1,21,130,0,0,2,0,2,9653691,9730648
CLSTN1,ENSG00000171603,1,243,2,10,0,0,34,0,1,0,6,0,1,37,126,3,0,22,5,8,9724120,9823820
CTNNBIP1,ENSG00000178585,1,27,0,0,0,0,5,0,0,0,2,0,0,5,11,0,0,0,4,0,9850627,9872056
LZIC,ENSG00000162441,1,61,0,1,0,1,3,0,0,0,6,0,0,4,25,0,0,0,19,3,9929275,9942832
NMNAT1,ENSG00000173614,1,36,0,0,0,0,2,0,0,0,0,0,0,10,16,0,0,2,6,0,9971973,9982717
RBP7,ENSG00000162444,1,33,0,0,0,6,1,0,0,0,2,0,0,6,12,0,0,0,3,3,10007503,9997400
UBE4B,ENSG00000130939,1,170,0,5,0,0,29,0,0,0,3,0,0,26,104,0,0,0,7,1,10033603,10180040
KIF1B,ENSG00000054523,1,458,0,11,0,1,50,0,0,0,11,0,0,52,234,0,0,2,105,3,10232239,10376625
PGD,ENSG00000142657,1,124,1,2,0,9,11,0,0,1,0,0,0,17,80,0,0,0,2,4,10398902,10419832
APITD1,ENSG00000175279,1,91,3,0,0,30,3,0,1,0,1,0,0,7,30,0,2,0,4,13,10430433,10442528
CORT,ENSG00000241563,1,19,1,0,0,0,2,0,0,0,0,0,0,5,6,0,1,0,0,5,10450017,10451519
DFFA,ENSG00000160049,1,71,3,1,0,0,5,0,2,0,3,0,1,13,14,0,0,19,14,0,10451532,10469376
PEX14,ENSG00000142655,1,116,0,1,0,6,21,0,0,0,4,0,0,19,63,0,0,0,2,1,10472227,10630018
CASZ1,ENSG00000130940,1,366,2,8,0,0,112,0,1,0,9,0,0,87,89,14,1,28,25,0,10638871,10694441
C1orf127,ENSG00000175262,1,149,2,6,0,2,21,0,0,0,6,1,1,40,77,0,0,0,1,0,10947586,10982113
TARDBP,ENSG00000120948,1,34,0,1,0,3,13,0,0,0,2,0,0,1,15,0,0,0,0,0,11013629,11020690
MASP2,ENSG00000009724,1,183,8,3,0,1,18,0,3,0,3,1,1,34,48,0,3,60,9,2,11022041,11047284
SRM,ENSG00000116649,1,71,0,1,0,1,9,0,0,0,5,0,0,2,38,0,0,0,7,9,11054765,11060035
EXOSC10,ENSG00000171824,1,292,6,15,0,12,26,0,0,0,16,2,0,32,195,0,4,0,3,2,11066640,11099991
MTOR,ENSG00000198793,1,416,1,12,0,8,69,0,0,0,19,0,1,26,266,0,0,0,26,1,11106602,11259491
ANGPTL7,ENSG00000171819,1,73,2,0,0,0,8,0,2,0,0,0,0,20,21,0,0,11,3,8,11189483,11199796
UBIAD1,ENSG00000120942,1,24,1,0,0,0,7,0,0,0,1,0,0,5,4,0,1,0,4,2,11273480,11286223
DISP3,ENSG00000204624,1,234,3,7,0,22,35,0,3,0,8,0,0,75,87,0,0,0,4,0,11500897,11536783
FBXO2,ENSG00000116661,1,101,0,1,0,39,9,0,0,0,2,0,0,11,31,3,0,0,3,3,11648668,11658875
FBXO44,ENSG00000132879,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11650730,11650730
FBXO6,ENSG00000116663,1,122,1,1,0,18,14,0,1,0,0,0,0,13,23,0,0,50,3,0,11661060,11677710
MAD2L2,ENSG00000116670,1,24,0,1,0,0,1,0,0,0,1,0,0,1,21,0,0,0,0,0,11680264,11680894
DRAXIN,ENSG00000162490,1,54,2,2,0,0,12,0,0,0,1,0,1,11,23,0,1,0,5,0,11706217,11719747
AGTRAP,ENSG00000177674,1,59,5,2,0,0,2,0,3,0,1,1,0,10,34,0,1,0,0,7,11736110,11750279
C1orf167,ENSG00000215910,1,184,4,12,0,0,26,0,0,0,4,0,0,70,80,0,4,0,0,0,11764310,11780109
MTHFR,ENSG00000177000,1,215,0,5,0,0,25,0,0,0,2,0,0,24,67,0,0,43,54,0,11782096,11801066
CLCN6,ENSG00000011021,1,288,2,11,0,35,36,0,0,0,5,0,1,35,123,0,1,50,0,2,11801171,11847769
NPPB,ENSG00000120937,1,48,0,1,0,1,6,0,0,0,0,0,0,10,7,0,0,0,5,19,11857561,11858932
KIAA2013,ENSG00000116685,1,81,2,3,0,0,31,0,1,0,0,0,0,23,4,0,1,4,16,1,11920219,11926256
PLOD1,ENSG00000083444,1,231,2,7,0,1,19,0,2,0,4,0,0,29,171,0,0,0,4,1,11934693,11974890
MFN2,ENSG00000116688,1,127,0,5,0,0,16,0,0,0,1,0,0,23,84,0,0,0,3,0,11989096,12011645
MIIP,ENSG00000116691,1,87,2,2,0,0,11,0,2,0,5,0,0,25,37,0,0,0,4,3,12021663,12031897
TNFRSF8,ENSG00000120949,1,129,1,1,0,10,22,0,0,0,3,0,0,22,67,0,1,0,2,2,12063566,12142609
TNFRSF1B,ENSG00000028137,1,87,0,8,0,1,11,0,0,0,4,0,0,15,29,0,0,19,4,4,12167002,12207106
VPS13D,ENSG00000048707,1,550,1,8,0,2,87,0,1,0,21,0,0,129,304,0,0,0,5,1,12234187,12509115
DHRS3,ENSG00000162496,1,111,0,2,0,0,22,0,0,0,3,0,0,19,59,1,0,0,1,6,12568283,12617420
AADACL4,ENSG00000204518,1,51,1,1,0,9,9,0,0,0,0,0,0,20,11,0,1,0,1,0,12644447,12666768
AADACL3,ENSG00000188984,1,62,2,1,0,0,17,0,1,0,0,0,0,23,15,0,1,0,5,0,12716283,12726088
C1orf158,ENSG00000157330,1,37,0,0,0,0,3,0,0,0,2,0,0,9,21,0,0,0,1,1,12746377,12761030
PRAMEF12,ENSG00000116726,1,55,1,4,0,0,16,0,0,0,0,0,0,25,8,0,1,0,5,0,12774882,12777697
PRAMEF1,ENSG00000116721,1,131,2,11,0,0,23,0,2,0,1,0,0,52,43,0,0,0,9,1,12793176,12796092
PRAMEF11,ENSG00000239810,1,138,1,0,0,0,25,0,0,0,2,0,0,70,40,0,1,0,0,0,12824954,12828884
HNRNPCL1,ENSG00000179172,1,48,4,0,0,0,14,0,1,0,0,0,0,24,0,0,3,1,0,5,12847340,12848383
PRAMEF2,ENSG00000120952,1,123,3,0,0,0,33,0,3,0,3,0,0,49,26,0,0,0,9,0,12858915,12861877
PRAMEF4,ENSG00000243073,1,169,4,12,0,0,29,0,1,1,5,0,0,78,46,0,2,0,7,0,12879482,12883494
PRAMEF10,ENSG00000187545,1,124,4,2,0,0,19,0,2,0,1,0,0,73,24,0,2,2,0,1,12892838,12895866
PRAMEF7,ENSG00000204510,1,40,1,1,0,0,10,0,0,0,1,0,0,20,4,0,1,3,1,0,12917806,12920497
PRAMEF6,ENSG00000232423,1,91,5,4,0,0,19,0,4,0,2,0,1,43,13,0,0,0,9,0,12938592,12942450
PRAMEF27,ENSG00000274764,1,108,4,0,0,0,26,0,1,1,2,0,0,52,23,0,2,0,0,1,13049972,13053708
PRAMEF25,ENSG00000229571,1,5,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,13076952,13077511
HNRNPCL2,ENSG00000275774,1,53,0,0,0,0,11,0,0,0,0,0,0,34,0,1,0,4,0,3,13115427,13116494
PRAMEF9,ENSG00000204505,1,38,2,0,0,0,4,0,0,0,0,1,0,12,20,0,1,0,0,0,13175446,13175662
PRAMEF5,ENSG00000270601,1,102,5,0,0,0,17,0,3,0,3,0,1,48,21,0,1,0,8,0,13259389,13263207
PRAMEF8,ENSG00000182330,1,65,4,0,0,0,19,0,2,0,1,0,0,32,6,0,2,0,3,0,13281287,13284069
PRAMEF15,ENSG00000204501,1,185,6,0,0,0,32,0,2,1,2,0,1,81,58,0,2,0,5,1,13318313,13322335
PRAMEF14,ENSG00000204481,1,107,3,0,0,0,19,0,1,1,0,0,0,47,32,0,1,0,5,1,13342429,13345410
PRAMEF19,ENSG00000204480,1,126,3,0,0,21,25,0,1,0,1,0,1,50,19,0,1,7,0,0,13368975,13371998
PRAMEF17,ENSG00000204479,1,87,4,0,0,1,19,0,2,0,2,0,0,37,16,0,2,0,5,3,13389576,13392597
PRAMEF20,ENSG00000204478,1,46,0,0,0,3,11,0,0,0,1,0,0,24,5,0,0,1,1,0,13416273,13421340
LRRC38,ENSG00000162494,1,71,0,3,0,0,34,0,0,0,0,0,0,18,16,0,0,0,3,0,13475748,13513567
PDPN,ENSG00000162493,1,74,2,3,0,5,10,0,0,1,1,0,1,11,28,0,0,1,7,9,13583739,13616007
PRDM2,ENSG00000116731,1,225,0,6,0,3,49,0,0,0,4,0,0,63,63,7,0,2,30,4,13715516,13823275
KAZN,ENSG00000189337,1,367,0,18,0,12,48,0,0,0,6,0,0,48,130,0,0,1,81,41,13893674,15114726
TMEM51,ENSG00000171729,1,73,1,5,0,0,9,0,1,0,0,0,0,10,46,0,0,0,3,4,15168409,15219834
FHAD1,ENSG00000142621,1,373,6,15,0,8,26,0,4,0,17,0,1,78,231,0,1,0,6,1,15251699,15397507
EFHD2,ENSG00000142634,1,65,1,0,0,1,12,0,1,0,2,0,0,15,23,3,0,0,5,3,15409876,15428764
CTRC,ENSG00000162438,1,90,2,4,0,4,8,0,1,0,2,0,0,14,55,0,1,0,5,0,15438372,15446675
CELA2A,ENSG00000142615,1,97,2,3,0,1,10,0,0,0,1,0,0,14,49,0,2,16,2,2,15456727,15476623
CELA2B,ENSG00000215704,1,37,0,2,0,0,6,0,0,0,1,0,0,10,19,0,0,1,0,0,15481005,15495399
CASP9,ENSG00000132906,1,133,1,10,0,0,13,0,0,0,5,0,0,19,44,0,1,22,29,0,15485909,15518487
DNAJC16,ENSG00000116138,1,255,1,8,0,47,26,0,1,0,8,0,0,27,80,1,0,54,10,1,15523983,15580224
AGMAT,ENSG00000116771,1,24,1,2,0,0,4,0,1,0,2,0,0,9,5,0,0,0,0,3,15583101,15585060
DDI2,ENSG00000197312,1,132,0,3,0,0,15,0,0,0,4,0,0,6,58,0,0,0,47,2,15617655,15661790
PLEKHM2,ENSG00000116786,1,272,0,5,0,0,22,0,0,0,8,0,0,51,107,0,0,64,2,18,15684500,15739494
TMEM82,ENSG00000162460,1,87,1,2,0,0,15,0,1,0,0,0,0,31,30,0,0,0,4,6,15742482,15747715
FBLIM1,ENSG00000162458,1,76,2,2,0,5,17,0,1,0,1,0,0,25,20,0,1,5,1,0,15764892,15784717
UQCRHL,ENSG00000233954,1,12,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,4,15807281,15807724
SPEN,ENSG00000065526,1,430,3,8,0,0,104,0,1,0,15,0,0,104,123,3,2,71,5,2,15848016,15945256
ZBTB17,ENSG00000116809,1,35,0,2,0,0,6,0,0,0,0,0,0,9,19,0,0,1,0,0,15937165,15948557
C1orf64,ENSG00000183888,1,25,0,0,0,0,5,0,0,0,0,0,0,5,8,0,0,0,3,4,16004289,16006419
HSPB7,ENSG00000173641,1,128,1,4,0,36,9,0,0,0,2,0,0,20,12,0,1,0,5,43,16015496,16024006
CLCNKA,ENSG00000186510,1,249,6,22,0,0,35,1,1,0,10,1,1,48,147,0,2,0,3,0,16024704,16033695
CLCNKB,ENSG00000184908,1,421,6,29,0,63,34,0,2,0,10,0,1,50,136,0,3,112,6,4,16044398,16062288
FAM131C,ENSG00000185519,1,42,0,0,0,0,0,0,0,0,1,0,0,3,34,0,0,0,0,4,16062400,16073515
EPHA2,ENSG00000142627,1,180,1,3,0,0,43,0,0,0,2,1,0,42,90,0,0,0,0,2,16125227,16155975
ARHGEF19,ENSG00000142632,1,134,1,6,0,0,11,0,0,0,1,0,1,32,85,1,0,0,2,1,16198561,16209101
RSG1,ENSG00000132881,1,43,0,1,0,0,7,0,0,0,2,0,0,13,19,0,0,0,2,0,16231972,16236698
FBXO42,ENSG00000037637,1,99,0,2,0,0,17,0,0,0,4,0,0,22,47,0,0,0,9,0,16250611,16315506
SZRD1,ENSG00000055070,1,79,0,2,0,0,4,0,0,0,1,0,0,6,19,0,0,40,2,7,16367198,16400969
SPATA21,ENSG00000187144,1,117,3,5,0,2,9,0,0,1,5,0,1,28,49,0,1,20,0,1,16403640,16431445
NECAP2,ENSG00000157191,1,55,1,2,0,2,10,0,1,0,2,0,0,9,23,0,0,0,5,3,16440662,16459096
NBPF1,ENSG00000219481,1,367,8,0,0,0,38,0,3,0,9,0,1,109,199,0,4,0,0,4,16564147,16592116
CROCC,ENSG00000058453,1,688,9,0,0,1,92,0,5,1,13,0,0,187,314,3,3,43,20,6,16921935,16977297
MFAP2,ENSG00000117122,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16978141,16978148
ATP13A2,ENSG00000159363,1,250,5,4,0,0,37,0,1,0,7,1,1,57,120,0,2,19,3,2,16985886,17011802
SDHB,ENSG00000117118,1,45,0,2,0,0,3,0,0,0,2,0,0,8,26,0,0,0,1,5,17018802,17054099
PADI2,ENSG00000117115,1,156,4,13,0,3,27,0,3,0,3,0,1,31,64,1,0,16,4,3,17068947,17119465
PADI1,ENSG00000142623,1,140,1,9,0,1,21,0,0,0,5,0,0,30,79,0,1,0,0,3,17205123,17244076
PADI3,ENSG00000142619,1,166,2,6,0,6,17,0,0,0,3,1,0,53,82,0,1,0,1,2,17244196,17283115
PADI4,ENSG00000159339,1,182,6,8,0,0,23,0,2,0,4,2,0,30,91,0,2,21,6,1,17308208,17363802
PADI6,ENSG00000276747,1,236,4,7,0,1,25,0,0,0,6,0,1,33,157,1,3,0,4,5,17372175,17401537
RCC2,ENSG00000179051,1,106,0,3,0,8,25,0,0,0,6,0,0,6,55,2,0,0,3,1,17409023,17438605
ARHGEF10L,ENSG00000074964,1,331,0,11,0,19,59,0,0,0,11,0,0,68,168,1,0,0,4,1,17580512,17697446
ACTL8,ENSG00000117148,1,29,1,0,0,0,10,0,1,0,3,0,0,10,3,0,0,0,2,0,17822981,17826609
IGSF21,ENSG00000117154,1,108,1,5,0,0,12,0,1,0,2,0,0,20,60,0,0,0,8,5,18108031,18378394
KLHDC7A,ENSG00000179023,1,93,2,7,0,3,13,0,2,0,0,0,0,50,0,0,0,0,25,0,18480894,18484105
PAX7,ENSG00000009709,1,116,1,8,0,0,33,0,1,0,0,0,0,26,48,0,0,0,5,3,18631539,18745027
TAS1R2,ENSG00000179002,1,129,3,2,0,2,33,0,3,0,2,0,0,57,24,0,0,7,0,1,18839518,18859751
